羅馬字	漢字	頻率
kyiang	僵	1
kyiao	交	2
kyiao	叫	113
kyiao	教	50
kyiao	澆	1
kyiao	繳	13
kyiao	驕	4
kyih	今	32
kyih	劫	2
kyih	急	6
kyih	擊	3
kyih	汲	1
kyih	潔	23
kyih	激	6
kyih	結	60
kyin	劍	3
kyin	堅	13
kyin	建	3
kyin	監	1
kyin	肩	3
kyin	見	497
kying	京	2
kying	今	28
kying	巾	6
kying	徑	1
kying	敬	59
kying	斤	2
kying	景	4
kying	禁	31
kying	竟	3
kying	經	221
kying	緊	16
kying	衿	1
kying	謹	4
kying	警	17
kying	金	10
kying	頸	7
kying	驚	10
kyiu	久	14
kyiu	九	12
kyiu	救	104
kyiu	究	4
kyiu	鳩	1
kyiæ	戒	1
kyü	句	65
kyü	居	13
kyü	據	4
kyü	歸	69
kyü	矩	18
kyü	舉	16
kyü	貴	3
kyü	鬼	106
kyüih	噘	2
kyüih	決	10
kyüing	君	4
kyüing	軍	3
kyün	卷	1
kyün	捐	1
kyün	眷	12
kyüô	佳	1
kyüô	加	108
kyüô	家	14
kyüô	迦	54
kyʽi	企	1
kyʽi	去	1223
kyʽi	器	8
kyʽi	棄	65
kyʽi	欺	1
kyʽi	氣	83
kyʽi	溪	1
kyʽi	豈	37
kyʽi	起	399
kyʽi	蹊	1
kyʽiah	卻	5
kyʽiao	巧	4
kyʽiao	蹺	1
kyʽih	乞	6
kyʽih	喫	34
kyʽih	挈	20
kyʽin	愆	4
kyʽin	欠	21
kyʽin	牽	11
kyʽin	謙	2
kyʽing	撳	1
kyʽing	輕	22
kyʽiu	丘	3
kyʽü	去	2
kyʽü	虧	3
kyʽüih	缺	27
kyʽüih	闕	1
kyʽün	勸	56
kyʽün	圈	36
kyʽüoh	喫	303
kyʽüoh	曲	9
kyʽüoh	確	5
kæ	改	2
kæ	蓋	14
kæ	該	291
kæn	奸	7
kæn	姦	29
kæn	揀	21
kæn	監	50
kæn	間	574
kæn	階	2
kô	假	45
kô	價	10
kô	加	71
kô	嫁	11
kô	家	670
kô	架	57
kôh	各	146
kôh	擱	16
kôh	角	8
kông	剛	10
kông	扛	1
kông	江	3
kông	缸	2
kông	講	504
kông	降	29
kʽa	揩	9
kʽah	喀	6
kʽah	客	21
kʽah	掐	1
kʽang	坑	7
kʽang	揞	22
kʽao	拷	2
kʽao	敲	19
kʽao	考	2
kʽao	銬	4
kʽao	靠	116
kʽeh	刻	68
kʽeh	客	2
kʽeh	渴	13
kʽeh	瞌	3
kʽeh	磕	2
kʽen	看	802
kʽeng	懇	5
kʽeng	肯	89
kʽeo	口	151
kʽeo	扣	49
kʽo	䯊	3
kʽo	可	85
kʽo	窠	11
kʽo	課	1
kʽo	顆	2
kʽoh	哭	39
kʽong	孔	13
kʽong	恐	47
kʽong	空	15
kʽwe	塊	2
kʽwu	苦	1
kʽæ	開	350
kʽæn	侃	2
kʽæn	檻	1
kʽô	抲	77
kʽôh	殼	2
kʽông	囥	16
kʽông	康	4
kʽông	糠	2
la	賴	2
lah	了	2
lah	喇	7
lah	拉	4079
lah	攔	3
lah	臘	26
lah	蠟	2
lang	冷	10
lang	良	6
lao	佬	22
lao	勞	14
lao	牢	62
lao	老	172
le	屢	5
le	累	1
le	雷	2
leh	了	413
leh	勒	814
leng	倫	9
leng	冷	139
leng	崙	4
leng	淪	1
leng	論	62
leo	樓	12
leo	漏	6
leo	簍	2
leo	髏	1
li	例	4
li	利	521
li	勵	1
li	厘	1
li	厲	16
li	吏	3
li	呂	17
li	哩	16
li	李	1
li	淚	11
li	濾	1
li	犁	1
li	狸	3
li	理	221
li	痢	1
li	礼	3
li	禮	170
li	累	18
li	裏	1208
li	里	14
li	離	94
li	驢	20
li	麗	1
liah	掠	6
liah	略	14
liang	亮	87
liang	兩	176
liang	樑	7
liang	涼	1
liang	糧	50
liang	良	9
liang	諒	5
liang	量	43
liao	了	48
liao	撩	2
liao	料	4
liao	繚	3
liao	鐐	4
