羅馬字	漢字	頻率
song	送	4
su	數	4
su	穌	7
sæn	三	6
sæn	省	1
sô	所	4
sô	舍	5
sô	赦	1
sông	爽	2
sön	算	25
ta	帶	4
tang	打	7
tao	倒	5
tao	到	54
tao	禱	2
te	對	1
teh	得	42
teh	答	2
teng	等	46
teng	頂	3
teo	兜	1
teo	抖	1
ti	底	1
ti	抵	1
ti	渧	2
tia	爹	79
tih	的	9
tin	店	9
tin	點	18
ting	盯	2
ting	頂	2
to	多	27
to	朵	3
tong	東	21
ts	之	1
ts	仔	7
ts	子	35
ts	資	1
tsa	債	16
tsah	責	1
tsah	隻	2
tsao	早	6
tsao	竈	3
tsao	遭	15
tseo	走	29
tsi	姊	2
tsi	𣥼	1
tsia	者	1
tsiang	將	1
tsiang	賬	20
tsiang	長	1
tsiao	招	3
tsiao	朝	1
tsiao	照	9
tsih	即	8
tsih	只	22
tsih	漬	1
tsih	節	3
tsih	質	1
tsih	跡	1
tsin	節	1
tsin	顫	1
tsing	正	1
tsing	真	17
tsing	睛	5
tsing	進	14
tsiu	晝	1
tsiu	酒	24
tso	做	24
tsong	總	19
tsæ	再	18
tsô	遮	1
tsôh	作	1
tsông	章	3
tsʽ	此	1
tsʽa	差	3
tsʽah	察	1
tsʽao	草	1
tsʽeng	忖	31
tsʽeng	村	1
tsʽeng	襯	2
tsʽeo	湊	7
tsʽia	且	4
tsʽih	七	1
tsʽin	千	8
tsʽing	清	1
tsʽing	稱	1
tsʽing	親	2
tsʽing	請	4
tsʽo	錯	3
tsʽong	聰	2
tsʽæn	懺	1
tu	賭	6
tu	都	19
tæn	單	2
tæn	帶	4
tæn	耽	1
tông	當	1
tön	斷	5
tʽah	遢	1
tʽah	𡍲	1
tʽao	套	2
tʽao	討	2
tʽeo	偷	11
tʽeo	透	1
tʽiao	跳	2
tʽih	鐵	1
tʽin	天	22
tʽing	廳	1
tʽing	聽	12
tʽong	痛	3
tʽong	通	2
tʽôh	託	2
tʽông	倘	1
u	烏	3
vah	伐	1
vah	罰	1
ve	𣍐	15
veng	份	4
veng	墳	1
vi	微	2
vi	未	2
vong	甮	6
vu	無	1
vu	父	10
væn	凡	6
væn	犯	4
væn	萬	8
væn	飯	8
vông	房	9
vông	望	2
wa	還	26
we	回	3
we	惠	6
we	會	50
we	爲	20
weh	活	3
wu	湖	1
wun	完	2
wæn	環	1
wæn	還	14
wô	話	147
wông	惶	4
wông	磺	1
w̆a	壞	12
w̆e	委	2
w̆eng	穩	1
yi	以	2
yi	又	13
yi	姨	1
yi	已	7
yi	挔	1
yia	也	27
yia	呀	1
yia	夜	6
yia	爺	1
yiah	鑰	2
yiang	樣	16
yiang	洋	5
yiang	養	1
yin	延	1
yin	沿	1
yin	現	3
ying	贏	4
yiu	友	2
yiu	有	88
yiu	由	1
yiu	遊	2
yiæ	耶	7
yü	預	1
yün	緣	1
yüong	傭	1
yüong	用	3
z	事	18
z	匙	2
z	字	6
z	是	144
z	時	12
z	示	1
z	自	2
za	柴	6
zao	造	1
ze	罪	10
ze	隨	5
zi	自	20
zia	謝	7
ziah	若	10
ziang	像	6
zih	舌	3
zin	前	4
zing	曾	1
ziu	受	3
ziu	就	47
zo	坐	12
zô	昨	4
zông	上	37
zông	嚐	2
zông	尚	4
zông	晌	6
zông	牀	1
zông	裳	7
æ	哀	2
æ	唉	1
æ	愛	1
ô	哦	2
ô	啞	2
ô	𢛟	3
ôh	惡	5
ông	怏	1
ün	怨	1
üô	㗇	3
ʽah	何	4
ʽang	行	1
ʽe	哎	2
ʽeh	嗑	1
ʽen	咸	2
ʽen	翰	1
ʽeo	候	9
ʽeo	厚	1
ʽeo	後	13
ʽo	和	2
ʽoh	或	1
ʽong	紅	2
ʽæ	嗐	1
ʽæ	害	1
ʽæn	閒	1
ʽô	下	9
ʽô	嗄	1
ʽôh	學	9
ʽôh	惑	2
ʽông	行	21
