羅馬字	漢字	頻率
peng	奔	1
peng	本	20
pi	比	8
pih	別	1
pih	壁	1
pih	必	15
pih	筆	1
pin	變	6
pin	遍	2
pin	邊	17
ping	並	9
ping	餅	1
po	波	5
poh	駁	2
pun	半	5
pæn	板	2
pæn	班	1
pæn	畈	1
pô	巴	19
pô	把	16
pô	芭	1
pông	幫	4
pʽao	拋	1
pʽao	泡	1
pʽi	批	1
pʽi	披	1
pʽin	篇	1
pʽin	騙	1
pʽing	拼	5
pʽong	碰	3
pʽu	鋪	1
pʽun	判	2
pʽô	怕	20
r	而	1
s	使	23
s	史	32
s	四	6
s	師	36
s	思	15
s	斯	5
s	私	1
s	詩	9
s	賜	6
s	駛	1
sah	撒	2
sah	殺	1
sah	煞	6
sah	薩	17
sang	生	65
sang	省	2
sao	掃	1
sao	稍	1
se	碎	1
se	雖	16
seh	色	4
sen	碎	8
seo	瘦	1
shih	失	1
shih	說	63
shih	適	1
shih	雪	4
shæ	奢	1
shô	耍	1
shông	爽	1
shü	世	25
shü	勢	2
shü	恕	2
shü	書	76
shü	歲	8
shü	水	5
si	世	8
si	死	38
si	洗	2
si	細	6
si	西	21
sia	寫	8
siang	商	2
siang	想	8
siang	相	40
siang	箱	2
siao	小	74
siao	少	4
siao	消	1
siao	燒	1
siao	笑	7
sih	惜	6
sih	飾	1
sin	先	44
sin	扇	3
sing	信	31
sing	升	1
sing	姓	5
sing	審	2
sing	心	64
sing	性	4
sing	新	6
sing	星	44
sing	聖	49
sing	聲	2
sing	身	16
sing	醒	2
siu	宿	1
siu	手	16
siu	首	6
soh	啥	25
song	送	9
su	塑	2
su	愫	3
su	數	8
su	甦	1
su	穌	47
su	訴	5
sæ	賽	1
sæn	三	10
sæn	山	6
sô	所	11
sô	捨	3
sô	沙	4
sô	赦	3
sông	傷	1
sông	喪	1
sông	孀	1
sông	爽	1
sön	算	8
ta	帶	4
ta	戴	1
tah	搭	3
tang	打	11
tao	倒	15
tao	刀	2
tao	到	113
tao	禱	13
te	對	5
teh	得	106
teh	答	10
teng	凳	1
teng	燉	2
teng	等	107
teng	頂	2
teng	頓	2
ti	低	4
ti	帝	1
ti	底	10
tia	爹	14
tiao	雕	2
tih	的	56
tin	點	20
ting	盯	2
ting	訂	1
ting	釘	1
ting	頂	28
tiu	丟	5
to	多	28
toh	督	7
tong	懂	1
tong	東	27
ts	之	2
ts	仔	26
ts	子	39
ts	志	1
ts	指	2
ts	止	1
ts	滋	1
ts	煮	2
ts	紙	3
tsah	扎	3
